;Title;Author;Type;Venue;Year;;;
;The study of an image-based method for product color design;D. Chen, D. Ma, J. Chu and J. He;;ICAC;2016;;;
;Car Number Plate Recognition (CNPR) system using multiple template matching;J. Ali Khan and M. Ali Shah;;ICAC;2016;;;
;Segmentation of online sketching using geometric feature;G. Wang and S. Wang;;ICAC;2016;;;
;Optimization model for the power system scheduling with wind generation and compressed air energy storage combination;Y. Li, S. Miao, X. Luo and J. Wang;;ICAC;2016;;;
;Detection and diagnosis of compound faults in induction motors using electric signals from variable speed drives;A. Shaeboub, M. Lane, U. Haba, F. Gu and A. D. Ball;;ICAC;2016;;;
;Comparative study of Partial Discharge emulators for the calibration of Free-Space radiometric measurements;A. Jaber et al.;;ICAC;2016;;;
;Integrated time sampling design and measurement set selection for biochemical systems;H. Yu, H. Yu, H. Yue and J. Zhou;;ICAC;2016;;;
;A comparative study on the evaluation of Nonlinear Output Frequency Response Functions (NOFRFs) of nonlinear systems;H. Zhang, Z. Q. Lang and Y. P. Zhu;;ICAC;2016;;;
;An investigation of electrical motor parameters in a sensorless variable speed drive for machine fault diagnosis;N. Hamad, K. F. Brethee, F. Gu and A. D. Ball;;ICAC;2016;;;
;ScreenStealer: Addressing Screenshot attacks on Android devices;S. M. Muzammal and M. Ali Shah;;ICAC;2016;;;
;RECMAC: Reliable and efficient cooperative cross-layer MAC scheme for vehicular communication based on random network coding technique;E. C. Elias, S. Zhang, E. Liu, E. N. Nweso and E. C. Joy;;ICAC;2016;;;
;Performance evaluation of IoT network infrastructure;W. Rafique and M. Ali Shah;;ICAC;2016;;;
;Delay-dependent stability of LFC in Microgrid with varying time delays;S. Elkawafi, A. Khalil, A. I. Elgaiyar and J. Wang;;ICAC;2016;;;
;Delay-dependent stability of DC Microgrid with time-varying delay;A. Khalil, S. Elkawafi, A. I. Elgaiyar and J. Wang;;ICAC;2016;;;
;Research on MAC layer communication performance model of wireless sensor networks for intelligent transportation;Z. Chu, W. Sun and J. Wang;;ICAC;2016;;;
;Stability of severe slug flow in U-shape riser;H. Tandoh, Y. Cao and C. Avila;;ICAC;2016;;;
;Adaptive dual fuzzy PID control method for longitudinal attitude control of tail-sitter UAV;D. Zhang, Z. Chen and L. Xi;;ICAC;2016;;;
;Robust control for robot manipulators with time-varying uncertainty based on bounded observer in discrete time;R. Yang, C. Yang, M. Chen and J. Na;;ICAC;2016;;;
;Neural learning enhanced teleoperation control of Baxter robot using IMU based Motion Capture;C. Yang, J. Chen and F. Chen;;ICAC;2016;;;
;Robot-assisted smart firefighting and interdisciplinary perspectives;P. Liu, H. Yu, S. Cang and L. Vladareanu;;ICAC;2016;;;
;Utilising Creative Computing and data mining techniques to analyse queries in a meta-search system;S. Ma, S. Li and H. Yang;;ICAC;2016;;;
;Identifying smart design attributes for Industry 4.0 customization using a clustering Genetic Algorithm;A. A. F. Saldivar, C. Goh, Y. Li, Y. Chen and H. Yu;;ICAC;2016;;;
;Overview of personalized Travel Recommendation Systems;P. Thiengburanathum, S. Cang and H. Yu;;ICAC;2016;;;
;Knowledge representation of large medical data using XML;V. Somaraki and Z. Xu;;ICAC;2016;;;
;Incorporating persuasion into a decision support system: The case of the water user classification function;K. Perren, L. Yang, J. He, S. -H. Yang and Y. Shan;;ICAC;2016;;;
;A Majority Voting Goal Based technique for Requirement Prioritization;R. M. Liaqat, M. A. Ahmed, F. Azam and B. Mehboob;;ICAC;2016;;;
;On orbit satellite fuel consumption optimization with Analytic Hierarchy Process method;X. Wang, W. Wang, Y. Zhang, K. Sun and L. Li;;ICAC;2016;;;
;Application of Evidential Reasoning rules to identification of asthma control steps in children;H. Zhu, J. Yang, D. Xu and C. Xu;;ICAC;2016;;;
;An enhanced botnet detection technique for mobile devices using log analysis;D. A. Girei, M. Ali Shah and M. B. Shahid;;ICAC;2016;;;
;Hybrid intrusion detection in connected self-driving vehicles;K. M. Ali Alheeti and K. McDonald-Maier;;ICAC;2016;;;
;An approach to detect crowd panic behavior using flow-based feature;Y. Hao, Z. Xu, J. Wang, Y. Liu and J. Fan;;ICAC;2016;;;
;A new seismic data visualization method;L. Chen, J. Yu, A. Ditta, C. Xiao, X. Li and Z. Wang;;ICAC;2016;;;
;Realization of wearable sensors-based human activity recognition with an augmented feature group;Y. Wang, S. Cang and H. Yu;;ICAC;2016;;;
;Research on the micro-interactive interface design of intelligent washing machines in IOT environment;D. Wu;;ICAC;2016;;;
;The impact of gender on the Quality of Experience for video services;T. S. Noor, N. I. Osman and I. M. Mkwawa;;ICAC;2016;;;
;From orientation movement to space navigation: Toward a novel explorative model;Q. Xu, Z. Zhao and W. Zhao;;ICAC;2016;;;
;Observer-based output feedback control of sampled-data system under stochastic sampling;H. Sun, J. Sun, J. Chen and J. Jin;;ICAC;2016;;;
;Critical analysis of the eigenfilter method for the design of FIR filters and wideband beamformers;A. Raza and W. Liu;;ICAC;2016;;;
;Feedback control algorithm for optimal throughput in IEEE 802.11e EDCA networks;A. Ibukunoluwa and S. Yang;;ICAC;2016;;;
;Simulation based evaluation of DDH-MAC protocol for Cognitive Radio Networks;M. Salman, M. A. Aziz and M. Ali Shah;;ICAC;2016;;;
;Implanted medical devices as future of wireless healthcare monitoring: Investigation and performance evaluation using novel numerical modeling;M. S. Akbar, H. Yu and S. Cang;;ICAC;2016;;;
;Forensic analysis of I2P activities;M. Wilson and B. Bazli;;ICAC;2016;;;
;Secure login protocols: An analysis on modern attacks and solutions;A. Waheed, M. Ali Shah and A. Khan;;ICAC;2016;;;
;A novel model for preserving Location Privacy in Internet of Things;I. Ullah and M. Ali Shah;;ICAC;2016;;;
;Fingerprint authentication and security risks in smart devices;M. R. Zafar and M. Ali Shah;;ICAC;2016;;;
;Novel malware detection methods by using LCS and LCSS;F. Mira, A. Brown and W. Huang;;ICAC;2016;;;
;Survey on security threats of smartphones in Internet of Things;M. H. Khan and M. Ali Shah;;ICAC;2016;;;
;Transmissibility damage indicator for wind turbine blade condition monitoring;L. Zhang, Z. Lang and W. Yang;;ICAC;2015;;;
;Stabilization of load frequency control system under networked environment;A. Khalil and J. Wang;;ICAC;2015;;;
;Applying feedback to stock trading: Exploring a new field of research;T. C. Yang, Z. G. Li and Y. N. Shu;;ICAC;2015;;;
;Research into Big data for smart grids;E. C. Eze, T. C. Yang, C. R. Chatwin, D. Yue and H. N. Yu;;ICAC;2015;;;
;Self-tuned fuzzy logic control of a pH neutralization process;P. K. Singh, S. Bhanot, H. K. Mohanta and V. Bansal;;ICAC;2015;;;
;On periodically pendulum-diven systems for underactuated locomotion: A viscoelastic jointed model;P. Liu, H. Yu and S. Cang;;ICAC;2015;;;
;Study on the inherent characteristics of planetary gear transmissions;Q. Tao, J. Zhou, W. Sun and J. Kang,;;ICAC;2015;;;
;Detection and diagnosis of motor stator faults using electric signals from variable speed drives;A. Shaeboub, S. Abusaad, N. Hu, F. Gu and A. D. Ball;;ICAC;2015;;;
;Symbolic kinematic and dynamic modelling toolbox for Multi-DOF robotic manipulators;P. Righettini, R. Strada, E. K. Olama and S. Valilou;;ICAC;2015;;;
;An improved search space resizing method for model identification by Standard Genetic Algorithm;K. Rajarathinam, J. B. Gomm, D. Yu and A. S. Abdelhadi;;ICAC;2015;;;
;LIDAR-based wind speed modelling and control system design;M. Wang, H. Yue, J. Bao and W. E. Leithead;;ICAC;2015;;;
;Diagnosis of combination faults in a planetary gearbox using a modulation signal bispectrum based sideband estimator;X. Tian, G. M. Abdallaa, I. Rehab, F. Gu, A. D. Ball and T. Wang;;ICAC;2015;;;
;Output feedback sliding mode controller with H2 performance for robot manipulator;P. Righettini, R. Strada, S. Valilou and E. Khadem Olama;;ICAC;2015;;;
;A study of diagnostic signatures of a deep groove ball bearing based on a nonlinear dynamic model;I. Rehab, X. Tian, F. Gu and A. D. Ball;;ICAC;2015;;;
;Investigation of motor current signature analysis to detect motor resistance imbalances;M. Lane, D. Ashari, F. Gu and A. D. Ball;;ICAC;2015;;;
;Geometrical and statistical feature extraction of images for rotation invariant classification systems based on industrial devices;R. D. C. Silva, G. A. P. Thé and F. N. S. de Medeiros;;ICAC;2015;;;
;Point cloud partitioning approach for ICP improvement;N. S. Pereira, C. R. Carvalho and G. A. P. Thé;;ICAC;2015;;;
;Joint resource blocks switching off and bandwidth expansion for energy saving in LTE networks;K. Kanwal, G. A. Safdar and S. Haxha;;ICAC;2015;;;
;Cash flow prediction using a grey-box model;Y. Pang, K. Opong, L. Moutinho and Y. Li;;ICAC;2015;;;
;The design and simulation of beam pumping unit;S. Wenlei, C. Li, Q. Tao and T. Yuanhua;;ICAC;2015;;;
;Key challenges and opportunities in hull form design optimisation for marine and offshore applications;J. H. Ang, C. Goh and Y. Li;;ICAC;2015;;;
;Industry 4.0 with cyber-physical integration: A design and manufacture perspective;A. A. F. Saldivar, Y. Li, W. -n. Chen, Z. -h. Zhan, J. Zhang and L. Y. Chen;;ICAC;2015;;;
;Comparison of contact measurement and free-space radiation measurement of partial discharge signals;A. Jaber et al.;;ICAC;2015;;;
;Survey of greener ignition and combustion systems for internal combustion engines;W. Luo et al.;;ICAC;2015;;;
;Analysis of frictional effects on the dynamic response of gear systems and the implications for diagnostics;K. F. Brethee, J. Gao, F. Gu and A. D. Ball;;ICAC;2015;;;
;A decision tree based recommendation system for tourists;P. Thiengburanathum, S. Cang and H. Yu;;ICAC;2015;;;
;Innovative developments in HCI and future trends;M. S. Hasan and H. Yu;;ICAC;2015;;;
;Pose estimation using visual entropy;J. Gui, D. Gu and H. Hu;;ICAC;2015;;;
;Characterisation of acoustic emissions for the frictional effect in engines using wavelets based multi-resolution analysis;N. Wei et al.;;ICAC;2015;;;
;Creative computing for decision making: Combining game theory and lateral thinking;L. Zou and H. Yang;;ICAC;2015;;;
;Fault detection and diagnosis for operational control systems;N. Sheng and H. Wang;;ICAC;2015;;;
;Applying semantic web techniques to poem analysis;X. Wang and H. Yang;;ICAC;2015;;;
;Performance analysis for operational optimal control for complex industrial processes — The square impact principle;Applying semantic web techniques to poem analysis;;ICAC;2015;;;
;Creative computing for personalised meta-search engine based on semantic web;S. Ma, S. Li and H. Yang;;ICAC;2015;;;
;Design of compliant parallel grippers using the position space concept for manipulating sub-millimeter objects;G. Hao, R. Hand, X. Kong, W. Chang and X. Luo;;ICAC;2015;;;
;Dynamic analysis of an underwater leveling-gripping system of an jacket platform under offshore environmental loads;P. Jiang, L. Wang and X. Luo;;ICAC;2015;;;
;Parametric covariance assignment using reduced-order closed-form covariance model;Q. Zhang, Z. Wang and H. Wang;;ICAC;2015;;;
;Experiment based investigation into micro machinability of Mg based metal matrix composites (MMCs) with nano-sized reinforcements;X. Teng, D. Huo, W. L. E. Wong and M. Gupta;;ICAC;2015;;;
;Actuator fault monitoring and fault tolerant control in distillation columns;S. A. Lawal and J. Zhang;;ICAC;2015;;;
;Energy efficiency in smartphones: A survey on modern tools and techniques;M. A. Shah, N. Naheed and S. Zhang;;ICAC;2015;;;
;Stabilizing slug flow at large valve opening using active feedback control;A. B. Ehinmowo and Y. Cao;;ICAC;2015;;;
;Condition monitoring of wind turbines based on extreme learning machine;P. Qian, X. Ma and Y. Wang;;ICAC;2015;;;
;A study of the performance of the combination of energy storage fibres;R. Zhang, Y. Xu, D. Harrison, J. Fyson, D. Southee and A. Tanwilaisiri;;ICAC;2015;;;
;Morphology element research on Chinese small-sized liquor bottle design;Y. Zhang, H. Lou and H. Yu;;ICAC;2015;;;
;Measurement station planning of single laser tracker based on PSO;Z. Xu, B. Wu, M. Zhang, F. Zou and Y. Yan;;ICAC;2015;;;
;Organization Based Intelligent Process Scheduling Algorithm (OIPSA);M. A. Shah, M. B. Shahid, S. Zhang, S. Mustafa and M. Hussain;;ICAC;2015;;;
;Insider threats in information security categories and approaches;N. Elmrabit, S. -H. Yang and L. Yang;;ICAC;2015;;;
;Grey-box identification for photovoltaic power systems via particle-swarm algorithm;N. Al-Messabi, C. Goh and Y. Li;;ICAC;2015;;;
;On the algorithm for reconstruction of polyhedral objects from a single line drawing;S. Qin and H. Tian;;ICAC;2015;;;
;Techniques for monitoring and predicting the OCV for VRLA battery systems;A. Mariani, K. Thanapalan, P. Stevenson, T. Stockley and J. Williams;;ICAC;2015;;;
;Message dissemination reliability in vehicular networks;C. E. Eze, S. Zhang and E. Liu;;ICAC;2015;;;
;Design of a fault tolerant redundant control for electro mechanical drive system;R. Grepl, M. Matejasko, M. Bastl and F. Zouhar;;ICAC;2015;;;
;Fault tolerant BLDC motor control for hall sensors failure;V. Sova, J. Chalupa and R. Grepl;;ICAC;2015;;;
;Observer-based delay compensation for networked control systems — Analysis and synthesis;O. Stefan, T. Dragomir and A. Codrean;;ICAC;2015;;;
;Design of configurable DC motor power-hardware-in-the-loop emulator for electronic-control-unit testing;J. Chalupa, R. Grepl and V. Sova;;ICAC;2015;;;
;Analysis and characterisation of a kinematically decoupled compliant XY stage;X. Herpe, R. Walker, X. Kong and M. Dunnigan;;ICAC;2015;;;
;Implementation of an advanced heating control system at the university academic building;V. V. Abdullin and D. A. Shnayder;;ICAC;2015;;;
;Improved kernel canonical variate analysis for process monitoring;R. T. Samuel and Y. Cao;;ICAC;2015;;;
;Determination of the material constants of creep damage constitutive equations using Matlab optimization procedure;J. Z. Igual and Q. Xu;;ICAC;2015;;;
;The interpretation of experimental observation date for the development of mechanisms based creep damage constitutive equations for high chromium steel;X. Yang, Z. Lu and Q. Xu;;ICAC;2015;;;
;Numerical simulation of triaxial tests to determine the Drucker-Prager parameters of silicon;A. Mir, X. Luo and A. Siddiq;;ICAC;2015;;;
;Reconfigurable software architecture for a hybrid micro machine tool;W. Zhong, W. Chang, L. Rubio and X. Luo;;ICAC;2015;;;
;Building a grid-point cloud-semantic map based on graph for the navigation of intelligent wheelchair;C. Zhao, H. Hu and D. Gu;;ICAC;2015;;;
;Quad-rotor lifting-transporting cable-suspended payloads control;Y. Alothman, W. Jasim and D. Gu;;ICAC;2015;;;
;Energy harvesting wireless sensor node for monitoring of surface water;Z. Mihajlovic, A. Joza, V. Milosavljevic, V. Rajs and M. Zivanov;;ICAC;2015;;;
;The factory of the future production system research;M. Gregor, J. Herčko and P. Grznár;;ICAC;2015;;;
;Computational investigation of superalloy persistent slip bands formation;J. Huang, Z. Wang, Y. Luo, Y. Li, E. Yang and Y. Chen;;ICAC;2015;;;
;An adaptive time-frequency filtering algorithm for multi-component LFM signals based on generalized S-transform;D. Wang, J. Wang, Y. Liu and Z. Xu;;ICAC;2015;;;
;Dynamic modelling and simulation study of a university campus CHP power plant;Y. Wang, A. Bermukhambetova, J. Wang, J. Lv and Q. Gao;;ICAC;2014;;;
;Non-fragile H∞ control with randomly occurring gain variations;Z. Li, Z. Wang, L. Hu and H. Shu;;ICAC;2014;;;
;Decentralised PID control tuning for a multivariable glass furnace by genetic algorithm;K. Rajarathinam, J. B. Gomm, D. Yu and A. S. Abdelhadi;;ICAC;2014;;;
;Optimal feedback control for reservoir waterflooding;A. S. Grema and Y. Cao;;ICAC;2014;;;
;Modelling and control of an elastically joint-actuated cart-pole underactuated system;P. Liu, H. Yu and S. Cang;;ICAC;2014;;;
;Modelling and validation of a regenerative shock absorber system;R. Wang, Z. Chen, H. Xu, K. Schmidt, F. Gu and A. D. Ball;;ICAC;2014;;;
;Robust fault detection for wind turbine systems;Y. Liu and D. Yu;;ICAC;2014;;;
;Experimental study of stable surfaces for anti-slug control in multi-phase flow;S. Pedersen, K. Stampe, S. L. Pedersen, P. Durdevic and Z. Yang;;ICAC;2014;;;
;Design and implementation of OCV prediction mechanism for PV-lithium ion battery system;T. Stockley, K. Thanapalan, M. Bowkett and J. Williams;;ICAC;2014;;;
;Modeling large scale complex cyber physical control systems based on system of systems engineering approach;L. Zhang;;ICAC;2014;;;
;Optimizing airport gate assignment with operational safety constraints;S. Liu, W. Chen and J. Liu;;ICAC;2014;;;
;Using abstraction in MDA-based reverse engineering for creative evolution;D. Jing, H. Yang and H. Hakeem,;;ICAC;2014;;;
;A novel critical node in generalized networking;X. Zhou;;ICAC;2014;;;
;The application of Han Dynasty cultural elements to modern product design;L. Chen, J. Kang, L. Zhang, M. Wang and D. Wang;;ICAC;2014;;;
;The significance of information visualisation based on the symbolic semantics of Peking Opera painted faces (POPF);D. Wang, J. Kang and S. Qin;;ICAC;2014;;;
;Design & Implementation of an innovative PMDC motor for Electric Vehicle;X. Guo, G. -P. Liu and J. Williams;;ICAC;2014;;;
;Research on load characteristics of aerostatic journal bearing with pocketed orifice-type restrictor;D. Wu, B. Wang and X. Luo;;ICAC;2014;;;
;An integrated dynamic design system for aerostatic spindle development;W. Chen, Y. Liang, X. Luo and W. Xie;;ICAC;2014;;;
;Simulation analysis for a movable bucking machine clamping mechanism based on Pro /E and ADAMS;X. Yang, R. Liu, J. Zhang, X. Luo and A. Ge;;ICAC;2014;;;
;An experimental investigation on the surface morphology in micro-end-milling of glass;Y. Zhao, Y. Zhang, D. Huo, X. Teng and Y. Shi;;ICAC;2014;;;
;Stability analysis of parallel-inverters in microgrid;A. Khalil, K. A. Alfaitori and A. Elbarsha;;ICAC;2014;;;
;Event-based filtering for discrete time-varying systems;H. Dong, Z. Wang and D. Ding;;ICAC;2014;;;
;Piecewise identification of manual control dynamics during control law changes;Shen Yingchun and M. Lone;;ICAC;2014;;;
;A study on a multi-controller design of the drawtube for aerial boom refueling;D. L. Yuan, J. F. Whidborne and Y. J. Xun;;ICAC;2014;;;
;ITAE-optimal PI controller based on Genetic Algorithm for low-order process with large time delays;F. Pan, H. Liao, J. Luo and Y. Xue;;ICAC;2014;;;
;Fuzzy Model Predictive reconfigurable control for nonlinear systems subject to actuators faults;L. B. Hamouda, O. Bennouna, M. Ayadi and N. Langlois;;ICAC;2014;;;
;Fault detection in a multivariate process based on kernel PCA and kernel density estimation;R. T. Samuel and Y. Cao;;ICAC;2014;;;
;A study of the suspension system for the diagnosis of dynamic characteristics;M. Hamed, B. Tesfa, F. Gu and A. D. Ball;;ICAC;2014;;;
;A two-layer energy efficient framework using SAW sensor network for leakage detection in monitoring water distribution system;Z. Tang and W. Wu;;ICAC;2014;;;
;Fault diagnosis of reciprocating compressors using revelance vector machines with a genetic algorithm based on vibration data;M. Ahmed, A. Smith, F. Gu and A. D. Ball;;ICAC;2014;;;
;Improved condition monitoring using fast-oscillating measurements;C. Ruiz-Cárcel, V. H. Jaramillo, D. Mba, J. R. Ottewill and Y. Cao;;ICAC;2014;;;
;Vehicular ad hoc networks (VANETs): Current state, challenges, potentials and way forward;E. C. Eze, S. Zhang and E. Liu;;ICAC;2014;;;
;Texture-based homogeneity analysis for crowd scene modelling and abnormality detection;J. Wang and Z. Xu;;ICAC;2014;;;
;Non-intrusive drowsiness detection by employing Support Vector Machine;A. Abas, J. Mellor and X. Chen;;ICAC;2014;;;
;A framework for security driven software evolution;H. Guan, X. Wang and H. Yang;;ICAC;2014;;;
;Implicit vascular reconstruction using the shape-presenting blending operation;Q. Qi, Q. Li and Q. Hong;;ICAC;2014;;;
;Engineering drawing man-hour forecasting based on BP-GA in design of chemical equipment;H. Ji, F. Xia and K. Cheng;;ICAC;2014;;;
;A scalability hierarchical fault tolerance strategy: Community Fault Tolerance;J. Chen, Y. Lu, I. Comsa and P. Kuonen;;ICAC;2014;;;
;The development of large-scale wind turbine blade redesign system;W. Sun, T. Qing, J. Kang and Z. Xiaoqiu;;ICAC;2014;;;
;The low-noise optimisation method for gearbox in consideration of operating conditions;Q. Tao, J. Zhou, W. Sun and J. Kang;;ICAC;2014;;;
;Fabrication and characterisation of energy storage fibres;R. Zhang, Y. Xu, D. Harrison, J. Fyson, D. Southee and A. Tanwilaisiri;;ICAC;2014;;;
;A novel image retrieval algorithm for computer aided color design;W. Kang, S. Qin and D. Chen;;ICAC;2014;;;
;An fast and efficient algorithm for spline filters;W. Zeng, X. Jiang, S. Lou and P. J. Scott;;ICAC;2014;;;
;Inertial force control and balance error analysis of fast tool servo based on the voice coil motor;H. Liu, Y. Sun, B. Zhu, Y. Hu and W. Xie;;ICAC;2014;;;
;A data-driven approach for self-optimizing control with equality constraints;S. A. Girei, Y. Cao and A. Kokossis;;ICAC;2014;;;
;Nonlinear system identification and control of a pH process using Local Linear Model Networks strategy;A. Abdelhadi, J. B. Gomm, D. Yu and K. Rajarathinam;;ICAC;2014;;;
;Scheduling crude oil blending and tanks inventory control under CDU demand uncertainty: A receding horizon approach;A. A. Hamisu, Y. Cao and A. Kokossis;;ICAC;2014;;;
;Behaviour interventions for water end use: An integrated model;Y. Fu and W. Wu;;ICAC;2014;;;
;Earth pressure multipoint forecasts and optimal control for EPB shield;K. Li, Y. Zhang and C. Shao;;ICAC;2014;;;
;An approach for the restoration of Atomic Force Microscope images enabling a combination of cantilever and feedback signals at different scanning speeds;A. Ahtaiba, M. A. Gdeisat, D. R. Burton and F. Lilley;;ICAC;2014;;;
;A framework to model big data driven complex cyber physical control systems;L. Zhang;;ICAC;2014;;;
;State estimation for a class of complex networks with event-triggered transmission scheme;L. Zou, Z. Wang and L. K. Stergioulas;;ICAC;2014;;;
;Stability of the consensus in the network of multiple Autonomous Intesections Management;C. Wuthishuwong and A. Traechtler;;ICAC;2014;;;
;Enhanced micro-TCB approach for smartphone security;M. A. Shah, I. Azam, M. Q. Khan and S. Zhang;;ICAC;2014;;;
;Element-based knowledge representation in intelligent design and its prototype for knowledge processing;Y. Zhang, J. Wang, Y. Zhao and D. Huo;;ICAC;2014;;;
;Morphogenetic self-organisation of swarm robots for adaptive pattern formation;Y. Jin;;ICAC;2013;;;
;Bayesian recursive filtering with partially observed inputs and missing measurements;J. Su, B. Li and W. -H. Chen;;ICAC;2013;;;
;Dynamic matrix model predictive control of coal feeder speed of a supercritical power plant;M. Draganescu et al.;;ICAC;2013;;;
;A constrained optimization approach to dynamic state estimation for power systems including PMU measurements;Z. Wang, L. Hu, I. Rahman and X. Liu;;ICAC;2013;;;
;H∞ state estimation for discrete-time systems with fading measurements and randomly varying nonlinearities;D. Ding, Z. Wang, H. Dong and B. Shen;;ICAC;2013;;;
;Adaptive backstepping control of linear motor based on Maxwell slip model of friction;M. Jastrzębski and J. Kabziński;;ICAC;2013;;;
;The real-time implementation of envelope analysis for bearing fault diagnosis based on wireless sensor network;G. Feng, A. Mustafa, J. X. Gu, D. Zhen, F. Gu and A. D. Ball;;ICAC;2013;;;
;Dispersion behavior of torsional guided waves in a small diameter steel gas pipe;B. Zaghari, V. Humphrey and M. Moshrefi-Torbati;;ICAC;2013;;;
;Techniques for estimating the VRLA batteries ageing, degradation and failure modes;A. Mariani, K. Thanapalan, P. Stevenson and J. Williams;;ICAC;2013;;;
;Development of an OCV prediction mechanism for lithium-ion battery system;T. Stockley, K. Thanapalan, M. Bowkett and J. Williams;;ICAC;2013;;;
;The influence of vehicle tyres pressure on the suspension system response by applying the time-frequency approach;M. Hamed, B. Tesfa, M. Aliwan, G. Li, F. Gu and A. D. Ball;;ICAC;2013;;;
;Challenges in mobile localisation in wireless sensor networks for disaster scenarios;S. Gu, Y. Yue, C. Maple, C. Wu and B. Liu;;ICAC;2013;;;
;uzzy logic based packet scheduling algorithm for Mobile Ad-Hoc Network with a realistic propagation model;O. A. Egaji, A. Griffiths, M. S. Hasan and H. Yu;;ICAC;2013;;;
;A novel symmetric key cryptographic authentication for cooperative communication in cognitive radio networks;M. A. Shah, S. Zhang, C. Maple and O. Shah;;ICAC;2013;;;
;Cognitive radio networks for Internet of Things: Applications, challenges and future;M. A. Shah, S. Zhang and C. Maple;;ICAC;2013;;;
;Large scaled multi-user MIMO system so called massive MIMO systems for future wireless communication network;Y. Mehmood, W. Afzal, F. Ahmad, U. Younas, I. Rashid and I. Mehmood;;ICAC;2013;;;
;A study of flexible supercapacitors for future energy storage;R. Zhang, Y. Xu, D. Harrison, J. Fyson, F. Qiu and D. Southee;;ICAC;2013;;;
;Full beam Atomic Force Microscopy;U. Khan, M. French and H. Chong;;ICAC;2013;;;
;Research on engineering change knowledge representation and retrieval technology based on ontology;Z. Wang and Y. Wan,;;ICAC;2013;;;
;Application of JACK on evaluation of a split seat chair;T. Qing, J. Kang, S. Orphanides, J. Hong and S. Wenlei;;ICAC;2013;;;
;User-defined driving-system design concepts for elderly drivers;S. Jung and S. Qin;;ICAC;2013;;;
;Moving object tracking in support of unmanned vehicle opeartion;R. Ding and W. -H. Chen;;ICAC;2013;;;
;Fast data fusion algorithm for building navigation base in formation flying;R. Du, J. Liu, Z. Jiang and G. Liu;;ICAC;2013;;;
;Modeling and interactional control of the multifingered hand;R. Hasan, A. Rahideh and H. Shaheed;;ICAC;2013;;;
;A fast control algorithm for digital camouflage spraying robot;C. Miao, T. Shaohui and P. Xiaochun;;ICAC;2013;;;
;Rapid prototyping of digital controllers using FPGAs and ESL/HLS design methodologies;C. Economakos, H. Sidiropoulos and G. Economakos;;ICAC;2013;;;
;Model-based condition monitoring for wind turbines;P. Cross and X. Ma;;ICAC;2013;;;
;Fault detection and isolation for open-loop Chylla-Haase polymerization reactor;A. M. Ertiame, D. Yu, F. Yu and J. B. Gomm;;ICAC;2013;;;
;Fault detection and isolation based on feedforward-feedback control for oxygen excess of fuel cell stack;M. K. Mahanijah, D. W. Yu and D. L. Yu;;ICAC;2013;;;
;Finite-horizon estimation of randomly occurring faults for discrete time-varying systems;H. Dong, Z. Wang and B. Shen;;ICAC;2013;;;
;A structural equation model for predicting virtual enterprise and agile supply chain relation;A. Samdantsoodol, H. Yu, S. Cang and A. Tumur-Ochir;;ICAC;2013;;;
;High order edge-aware texture filter design using PSP-splines;Q. Li and Z. He;;ICAC;2013;;;
;Texture-based segmentation for extracting image shape features;J. Wang, Z. Xu and Y. Liu;;ICAC;2013;;;
;Spatio-temporal volume-based shape modelling for video event detection;J. Wang, Z. Xu and Y. Liu;;ICAC;2013;;;
;A framework for feature based dynamic intravideo indexing;M. N. Asghar, F. Hussain and R. Manton;;ICAC;2013;;;
;Inter-turn short circuit detection based on modulation signal bispectrum analysis of motor current signals;A. Alwodai, Y. Shao, X. Yuan, M. Ahmed, F. Gu and A. D. Ball;;ICAC;2013;;;
;Multivariable optimisation of a Homogeneous Charge Microwave Ignition system;L. -C. Schöning and Y. Li;;ICAC;2013;;;
;Establishing large-scale wind turbine blade CAD model based on reverse engineering;S. Wenlei, T. Qing, J. Kang and Z. Xiao Qiu;;ICAC;2013;;;
;Design and implementation of an optimal battery management system for hybrid electric vehicles;M. Bowkett, K. Thanapalan, T. Stockley, M. Hathway and J. Williams;;ICAC;2013;;;
;Aerodynamic analysis of variable cant angle winglets for improved aircraft performance;A. Beechook and J. Wang;;ICAC;2013;;;
;Acoustic emission features of material removal during single grit scratching;T. T. Öpöz and X. Chen;;ICAC;2013;;;
;Integration approach of mechatronics system in PLM systems;A. Houssem, P. Philippe, N. Didier, C. J. Pierre and B. Chokri;;ICAC;2013;;;
;Compilation method for control program based on event graph method;Z. Chong-quan, C. Chen and W. Wen-yan;;ICAC;2013;;;
;RBF model based predictive control for exothermic semi-batch polymerizations;M. M. Nabi, D. Yu and F. Yu;;ICAC;2013;;;
;Dynamic modelling and simulation study of Texaco gasifier in an IGCC process;Y. Wang, J. Wang, S. Guo, J. Lv and Q. Gao;;ICAC;2013;;;
;Development of a simulation model of a windshield wiper system for Hardware in the Loop simulation;M. Dooner, J. Wang and A. Mouzakitis;;ICAC;2013;;;
;An external consensus protocol design for heterogenous multiply processes with predictive control scheme;N. A. M. Subha and G. -p. Liu;;ICAC;2013;;;
;Definition, research scope and challenges of creative computing;L. Zhang and H. Yang;;ICAC;2013;;;
;Modeling railway cyber physical systems based on AADL;L. Zhang;;ICAC;2013;;;
;Multi-view approach to model aerospace cyber-physical systems;L. Zhang;;ICAC;2013;;;
